INQ_YMD,PDLT_CODE,PDLT_NM,NMYR_RATE,BFRT_RATE,SPCS_CODE,WHSL_DAIL_PRCE,RTSL_DAIL_PRCE
일자,품목코드,품목명,평년 비율,전일 비율,품종코드,도매일일가격,소매일일가격
19960124,1202,대파,0,4.167,1202,600,1192
19960125,1001,배추,0,0,1001,0,1525
19960125,1101,무,0,0,1101,0,1000
19960125,1207,건고추,0,0.671,1207,5321.43,6267
19960125,1209,마늘,0,0,12A9,0,2913
19960125,1209,마늘,0,0,1209,1117.9,0
19960125,1201,양파,0,0,1201,415,626
19960125,1202,대파,0,0,1202,600,1188
19960126,1001,배추,0,0,1001,0,1521
19960126,1101,무,0,0,1101,0,1013
19960126,1207,건고추,0,0.134,1207,5328.57,6267
19960126,1209,마늘,0,0,12A9,0,2908
19960126,1209,마늘,0,0,1209,1117.9,0
19960126,1201,양파,0,0,1201,415,625
19960126,1202,대파,0,0,1202,600,1188
19960202,1207,건고추,0,0.133,1207,5378.57,6283
19960202,1209,마늘,0,0,12A9,0,2871
19960202,1209,마늘,0,0,1209,1117.9,0
19960202,1201,양파,0,0,1201,420,633
19960202,1202,대파,0,0,1202,625,1208
19960203,1001,배추,0,0,1001,0,1513
19960203,1101,무,0,0,1101,0,983
19960203,1207,건고추,0,0,1207,5378.57,6242
19960203,1209,마늘,0,0,12A9,0,2871
19960203,1209,마늘,0,0,1209,1117.9,0
19960203,1201,양파,0,1.176,1201,425,633
19960203,1202,대파,0,0,1202,625,1208
19960204,1001,배추,0,0,1001,0,1513
19960204,1101,무,0,0,1101,0,983
19960204,1207,건고추,0,0,1207,5378.57,6242
19960204,1209,마늘,0,0,12A9,0,2871
19960204,1209,마늘,0,0,1209,1117.9,0
19960204,1201,양파,0,1.176,1201,425,633
19960204,1202,대파,0,0,1202,625,1208
19960205,1001,배추,0,0,1001,0,1558
19960205,1101,무,0,0,1101,0,979
19960205,1207,건고추,0,0,1207,5378.57,6242
19960205,1209,마늘,0,0,12A9,0,2871
19960205,1209,마늘,0,0,1209,1117.9,0
19960205,1201,양파,0,0,1201,425,633
19960205,1202,대파,0,0,1202,625,1175
19960206,1001,배추,0,0,1001,0,1563
19960206,1101,무,0,0,1101,0,992
19960206,1207,건고추,0,0.397,1207,5400,6283
19960206,1209,마늘,0,0,12A9,0,2854
19960206,1209,마늘,0,-0.976,1209,1107.1,0
19960206,1201,양파,0,0,1201,425,629
19960206,1202,대파,0,0,1202,625,1179
19960207,1001,배추,0,0,1001,0,1567
19960207,1101,무,0,0,1101,0,1000
19960207,1207,건고추,0,0.132,1207,5407.14,6292
19960207,1209,마늘,0,0,12A9,0,2854
19960207,1209,마늘,0,0,1209,1107.1,0
19960207,1201,양파,0,9.574,1201,470,632
19960207,1202,대파,0,0,1202,625,1204
19960208,1001,배추,0,0,1001,0,1579
19960208,1101,무,0,0,1101,0,1004
19960208,1207,건고추,0,0,1207,5407.14,6300
19960208,1209,마늘,0,0,12A9,0,2854
19960208,1209,마늘,0,0,1209,1107.1,0
19960208,1201,양파,0,-2.174,1201,460,637
19960208,1202,대파,0,0,1202,625,1200
19960209,1001,배추,0,0,1001,0,1583
19960209,1101,무,0,0,1101,0,1017
19960209,1207,건고추,0,0,1207,5407.14,6308
19960209,1209,마늘,0,0,12A9,0,2854
19960209,1209,마늘,0,0,1209,1107.1,0
19960209,1201,양파,0,0,1201,460,638
19960209,1202,대파,0,13.793,1202,725,1229
19960210,1001,배추,0,0,1001,0,1583
19960210,1101,무,0,0,1101,0,1017
19960210,1207,건고추,0,0,1207,5407.14,6308
19960210,1209,마늘,0,0,12A9,0,2854
19960210,1209,마늘,0,-0.317,1209,1103.6,0
19960210,1201,양파,0,0,1201,460,638
19960210,1202,대파,0,12.121,1202,825,1229
19960211,1001,배추,0,0,1001,0,1583
19960211,1101,무,0,0,1101,0,1017
19960211,1207,건고추,0,0,1207,5407.14,6308
19960211,1209,마늘,0,0,12A9,0,2854
19960211,1209,마늘,0,-0.317,1209,1103.6,0
19960211,1201,양파,0,0,1201,460,638
19960211,1202,대파,0,12.121,1202,825,1229
19960212,1001,배추,0,0,1001,0,1617
19960212,1101,무,0,0,1101,0,1067
19960212,1207,건고추,0,0,1207,5407.14,6308
19960212,1209,마늘,0,0,12A9,0,2854
19960212,1209,마늘,0,-0.317,1209,1103.6,0
19960212,1201,양파,0,0,1201,460,651
19960212,1202,대파,0,0,1202,825,1300
19960213,1001,배추,0,0,1001,0,1621
19960213,1101,무,0,0,1101,0,1092
19960213,1207,건고추,0,0,1207,5407.14,6308
19960213,1209,마늘,0,0,12A9,0,2854
19960213,1209,마늘,0,0,1209,1103.6,0
19960213,1201,양파,0,0,1201,460,652
19960213,1202,대파,0,-6.452,1202,775,1317
19960214,1001,배추,0,0,1001,0,1588
19960214,1101,무,0,0,1101,0,1088
19960214,1207,건고추,0,0,1207,5407.14,6308
19960214,1209,마늘,0,0,12A9,0,2854
19960214,1209,마늘,0,0,1209,1103.6,0
19960304,1209,마늘,0,0,12A9,0,2846
19960304,1209,마늘,0,0,1209,1103.6,0
19960304,1201,양파,0,0,1201,420,680
19960304,1202,대파,0,8.696,1202,575,1317
19960305,1001,배추,0,0,1001,0,1813
19960305,1101,무,0,0,1101,0,1196
19960305,1207,건고추,0,0.132,1207,5421.43,6342
19960305,1209,마늘,0,0,12A9,0,2823
19960305,1209,마늘,0,0,1209,1103.6,0
19960305,1201,양파,0,0,1201,420,690
19960305,1202,대파,0,20.69,1202,725,1308
19960306,1001,배추,0,0,1001,1333.333,1821
19960306,1101,무,0,0,1101,0,1213
19960306,1207,건고추,0,0,1207,5421.43,6342
19960306,1209,마늘,0,0,12A9,0,2804
19960306,1209,마늘,0,0,1209,1103.6,0
19960306,1201,양파,0,6.667,1201,450,684
19960306,1202,대파,0,6.452,1202,775,1308
19960307,1001,배추,0,0,1001,1333.333,1821
19960307,1101,무,0,0,1101,0,1213
19960307,1207,건고추,0,0,1207,5421.43,6342
19960307,1209,마늘,0,0,12A9,0,2804
19960307,1209,마늘,0,0,1209,1103.6,0
19960307,1201,양파,0,0,1201,450,684
19960307,1202,대파,0,-6.897,1202,725,1308
19960308,1001,배추,0,0,1001,1333.333,1821
19960308,1101,무,0,0,1101,0,1229
19960308,1207,건고추,0,0,1207,5421.43,6342
19960308,1209,마늘,0,0,12A9,0,2804
19960308,1209,마늘,0,0,1209,1103.6,0
19960308,1201,양파,0,13.462,1201,520,685
19960308,1202,대파,0,12.121,1202,825,1333
19960309,1001,배추,0,9.091,1001,1466.667,1821
19960309,1101,무,0,0,1101,0,1229
19960309,1207,건고추,0,0.394,1207,5442.86,6367
19960309,1209,마늘,0,0,12A9,0,2804
